title,thumbnail,description,publishedAt,tags
"Teen serial swatter-for-hire busted, pleads guilty, could face 20 years",https://regmedia.co.uk/2024/11/17/shutterstock_editorial_only_special_weapons_and_tactics_swat_team.jpg,PLUS: Cost of Halliburton hack disclosed; Time to dump old D-Link NAS; More UN cybercrime convention concerns; and more,2024-11-18T00:39:34Z,['Cyber']
"Y Combinator often backs startups that duplicate other YC companies, data shows","https://techcrunch.com/wp-content/uploads/2023/04/yc-ocean.jpg?resize=1200,645","An analysis of all nearly 5,000 companies YC has backed to date reveals a surprising truth: YC startups don’t have to be unique. Far from it.",2024-11-26T08:50:00Z,"['IQ', 'UNI']"
A Walk with LuaJIT,https://cdn.sanity.io/images/u4y7d6w6/production/b71ab78c3af9fd5e431499ed3504c64b20734e29-1024x1024.png,How we scrape callstack information from the LuaJIT engine for profiling,2024-11-19T07:38:13Z,[]
Transparenz und Dezentralität bei Bluesky: Realität oder Illusion?,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/7/5/2/7/1/3/e4afec19-023e-419a-9bf5-9d4337c6384b-ca05ba8dd053d2d8.webp,"Bluesky zieht Millionen an, doch wachsen Zweifel an Transparenz und Dezentralität. Kritiker hinterfragen die Eigentümerstruktur und langfristige Unabhängigkeit.",2024-11-28T06:55:00Z,['Ren']
EU-Strafverfolger fordern: Datensparsame Messenger-Dienste sanktionieren,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/7/5/2/9/6/5/shutterstock_1907066239-7b8e1396bf5af303.jpg,"Die ""Going Dark""-Gruppe sieht in ihrem Abschlussbericht besondere Herausforderungen für den ""rechtmäßigen"" Datenzugang durch Signal & Co. und will Vorratsdaten.",2024-11-28T09:14:00Z,"['Ark', 'Ren']"
You can buy Bitcoin with Apple Pay via new Coinbase rollout,https://i0.wp.com/9to5mac.com/wp-content/uploads/sites/6/2021/02/Apple-Bitcoin.jpg?resize=1200%2C628&quality=82&strip=all&ssl=1,"Bitcoin and other cryptocurrencies are getting easier to buy into, as Coinbase is rolling out a new integration today for purchasing crypto via Apple Pay across third-party apps. Here are the details.



 more…",2024-12-02T20:10:06Z,"['Bitcoin', 'Ren']"
5 Questions To Ask at the Thanksgiving Table,https://images.food52.com/IP69rKAr2JLvZLXV2wr26eiCJN4=/fit-in/1200x1200/1ba9a801-8762-4850-90bf-0ee10a89c0d1--2021-1014_thanksgiving-tabletop-with-food_3x2_julia-gartland_118_1-.jpg,"Thanksgiving—like baseball, “the cloud,” and your nephew’s can’t-miss crypto investment—is packed with data. Some of it’s boring—especially the stuff about calories. But many of the stats, facts and figures behind Thanksgiving are, at worst, interesting enoug…",2024-11-25T22:42:24Z,[]
Trump Won the Election: 2 Changes That Could Be Coming to Social Security in the Next 4 Years,https://s.yimg.com/ny/api/res/1.2/YcUAwp_AdRjPAL5y5fLYlQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/gobankingrates_644/b18ced6e7b17f0f47bbd207c86555daf,"Throughout his long 2024 campaign to retake the White House, President-elect Donald Trump made a number of promises regarding changes to America’s Social...",2024-11-28T14:00:23Z,"['Amp', 'Dent', 'Prom', 'MAD']"
Coinbase Onboard adds Apple Pay for crypto purchases in third-party apps,https://photos5.appleinsider.com/gallery/61926-128207-coinbase-applepay-xl.jpg,"Coinbase has added Apple Pay support to its Onramp payment feature for third-party apps, making it easier for iPhone owners to buy cryptocurrency from their devices.Image credit: CoinbaseCoinbase Onramp is a tool for app developers that helps them enable user…",2024-12-02T21:07:16Z,"['Amp', 'Velo', 'Ren', 'RAMP', 'Kin']"
Ledger Flex Crypto Wallet,https://uncrate.com/p/2024/11/ledger-flex-1-1.jpg,"The Ledger Flex is the latest addition to Ledger's line of hardware crypto wallets for a secure way to manage over 5,500 supported coins and tokens. The Flex uses a clear, crisp E Ink display to review and Clear Sign...",2024-11-22T19:00:00Z,['FLEX']
