name,symbol,market_cap,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d
Pyth Network,PYTH,1628927905.2848349,0.4493608121985953,312301630.39445984,-1.25378327,10.48251179,7.96030818
Lido DAO,LDO,1490254872.0341778,1.663744173380772,514897623.50413114,-4.0227061,19.95036669,35.47998369
Jupiter,JUP,1457479018.6258178,1.0796140878709761,210397083.40181214,-2.69923705,0.85400392,-7.94240515
Arweave,AR,1419077788.421023,21.614995976252025,292957980.9172417,-2.67424143,3.46905399,12.27090423
Ondo,ONDO,1420500996.222149,1.022119762632835,216197213.23811752,-3.36002232,3.51189359,4.17609525
Flow,FLOW,1393037515.2205315,0.9009376446189716,182809610.2501833,-1.69668611,6.0900695,21.55721743
KuCoin Token,KCS,1387620777.5326304,11.538783276031786,1767735.55645834,-0.49494805,3.14427154,7.86723779
Bitcoin SV,BSV,1342321898.994621,67.83266223542047,90283563.07932146,-2.53412356,1.60638991,-1.25607088
Polygon,MATIC,1330915983.9927607,0.5706723277677623,19844557.40470267,-2.44993102,7.24335944,23.23398707
Gala,GALA,1313934237.6063113,0.03656636529210324,578534608.6798272,-2.88196819,3.87111142,20.29456464
BitTorrent [New],BTT,1313075102.4001822,1.356137305188001e-06,61221003.5580203,1.50507852,4.97117494,19.38302451
Popcat (SOL),POPCAT,1309481010.472913,1.3362416758448443,129220406.418419,-4.61022865,-5.4066891,-24.79756409
Tezos,XTZ,1289493685.518013,1.2707912315360073,290350224.397119,-1.47961417,0.79908735,10.93381076
Decentraland,MANA,1253272377.6473017,0.6452665890139566,1300878271.9932513,-2.19007774,11.29206989,56.32175884
Starknet,STRK,1246196505.0329094,0.593580934344551,344920518.39515144,-3.79506716,2.15580058,18.31200164
EOS,EOS,1243133956.3143597,0.8126916674688331,383329528.4313047,-1.51243351,1.34117377,21.50541893
JasmyCoin,JASMY,1216544047.1427193,0.024628890679090482,230572677.66247645,-3.17037501,-0.15961106,11.0653945
Flare,FLR,1207691791.630379,0.022899778685148295,22295780.58081204,-2.65023969,4.31945457,12.14238679
Axie Infinity,AXS,1172172520.3048146,7.619832838898363,1007844633.5972102,-2.00508084,4.5100915,30.54008014
Quant,QNT,1162067065.5199134,96.25546959769304,53630219.82172889,-3.02312345,3.97716901,7.28795281
Peanut the Squirrel,PNUT,1138893746.3756504,1.1390590558370681,1589463244.9144156,-2.54471242,-8.3965863,-30.06037159
Beam,BEAM,1126477936.6696775,0.02277277001885683,50786270.22308061,-3.08815955,1.98394042,-6.90212138
Kaia,KAIA,1127554038.8243525,0.19181716735621504,71838179.8394487,-1.12579079,1.56870506,42.5102878
Neo,NEO,1041510383.9015456,14.76506442106399,82994173.00468266,-1.52533216,5.50176855,14.48622405
Helium,HNT,1028933714.7162184,6.0357883837649196,24655360.38051639,-2.66854665,0.0783567,4.15604745
MultiversX,EGLD,1019012313.1173818,36.927583844989826,88778954.6590541,-3.09968537,4.90627313,18.6755191
Mog Coin,MOG,996994298.309033,2.552680985574743e-06,50501162.48208689,-5.27294321,6.52805559,6.38876752
ApeCoin,APE,986890827.6960707,1.3112188151193327,212891245.42384914,-1.92721315,4.31986522,15.25779449
Core,CORE,979514230.8406253,1.0615110339749214,71120162.05998269,-0.99244114,3.81229191,3.7347815
Akash Network,AKT,972587091.2276999,3.9172079601053333,25057575.72224284,-0.82916022,7.6736926,3.55644989
dYdX (Native),DYDX,963615476.363751,1.496456014782784,84977342.55604729,-2.86328269,3.70915152,13.04552603
